,codebook_dl,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost,1,2,3,4,5,6
code_book3.npy,1888,16.98,3.34,24.64,2573.64,157.9,28.87878787878788,5.303030303030303,37.73737373737374,2586.7373737373737,279.1212121212121,0.03231714598871488,0.04175458084862314,0.3907182354149517,0.2194856291031356,0.014270520816728822,0.3014538878278458
code_book20.npy,1888,16.86,3.3,23.68,2966.68,163.96,29.050505050505052,5.343434343434343,36.2020202020202,2979.2020202020203,292.75757575757575,0.03842812327777154,0.06190293440885868,0.13282405335660843,0.19336815075396274,0.2286771311933949,0.34479960700940376
code_book18.npy,1976,16.5,3.24,24.64,3010.64,169.02,28.656565656565657,5.373737373737374,39.35353535353536,3025.3535353535353,309.35353535353534,0.012574606158226576,0.16748892069721083,0.3149399058417182,0.020419805440104976,0.2143216785116795,0.2702550833510601
code_book15.npy,1976,17.26,3.28,26.4,3037.4,156.28,29.88888888888889,5.474747474747475,41.292929292929294,3052.2929292929293,293.25252525252523,0.09354005669870477,0.21411362816541563,0.0013925502222582595,0.2450897111590578,0.2035273720321779,0.24233668172238554
code_book2.npy,2000,16.6,3.3,25.6,3015.6,164.5,28.7979797979798,5.353535353535354,41.37373737373738,3031.373737373737,294.26262626262627,0.0080805838667941,0.2852828452018462,0.14143304725391231,0.09925320755350378,0.2532964781119297,0.21265383801201404
code_book12.npy,2000,16.98,3.34,26.88,2815.88,154.72,28.92929292929293,5.444444444444445,42.02020202020202,2831.020202020202,279.16161616161617,0.214198331316277,0.032851277164650465,0.009286658202331079,0.2798131166035224,0.32690851895856526,0.1369420977546538
code_book14.npy,2056,16.22,3.32,26.88,2702.88,151.6,28.272727272727273,5.404040404040404,43.878787878787875,2719.878787878788,277.19191919191917,0.1493610625935888,0.030790768372049557,0.2817063615856679,0.2967287998732877,0.17994110585535583,0.06147190172005013
code_book10.npy,2056,16.82,3.46,27.04,2041.04,138.56,28.696969696969695,5.636363636363637,42.58585858585859,2056.5858585858587,254.57575757575756,0.05919804721684457,0.19397257010570093,0.2491325391499752,0.37559484403518084,0.03214292580020706,0.08995907369209143
code_book13.npy,2056,16.6,3.36,27.36,2832.36,159.04,28.696969696969695,5.383838383838384,41.37373737373738,2846.373737373737,292.07070707070704,0.06971376735996354,0.3531461652427332,0.06801027436480213,0.21277039070109174,0.11164062522622693,0.18471877710518247
code_book11.npy,2120,16.26,3.38,25.28,2402.28,149.06,28.858585858585858,5.656565656565657,41.61616161616162,2418.6161616161617,275.62626262626264,0.1140865119588617,0.12451962266969518,0.3119940495538798,0.07734289860940627,0.2946695365231017,0.07738738068505532
code_book1.npy,2152,16.28,3.34,25.76,2566.76,156.44,28.7979797979798,5.545454545454546,42.26262626262626,2583.2626262626263,284.95959595959596,0.1307246747736906,0.17007748883116067,0.2239890317247143,0.1840850471152607,0.2177387915307025,0.07338496602447128
code_book19.npy,2176,16.4,3.34,26.4,2877.4,166.44,28.19191919191919,5.565656565656566,42.26262626262626,2893.2626262626263,307.6161616161616,0.2772775156414416,0.09662579606018971,0.08826714972873931,0.2371421775799284,0.17409155080843067,0.12659581018127045
code_book6.npy,2192,17.16,3.3,27.68,2670.68,150.28,29.02020202020202,5.383838383838384,43.23232323232323,2686.2323232323233,271.74747474747477,0.2872130204103864,0.2655573650331698,0.018811036754790327,0.08995607610825845,0.21100637413224396,0.12745612756115113
code_book8.npy,2192,16.88,3.32,26.08,3039.08,156.86,28.696969696969695,5.373737373737374,40.888888888888886,3053.8888888888887,285.35353535353534,0.3324101374848539,0.1766887062492397,0.06475640623603177,0.042524890886791955,0.20629089437884504,0.1773289647642376
code_book5.npy,2208,16.56,3.38,27.52,2543.52,159.44,28.242424242424242,5.454545454545454,42.58585858585859,2558.5858585858587,286.3333333333333,0.20709981574391173,0.1773473011079874,0.1569386264336738,0.22055300376454806,0.11641198811381478,0.12164926483606421
code_book9.npy,2224,16.96,3.38,27.2,2628.2,161.0,28.545454545454547,5.4646464646464645,43.474747474747474,2644.4747474747473,291.42424242424244,0.2048591786754969,0.1768536901472271,0.24399266478693005,0.11275903645346087,0.19110762792796981,0.07042780200891531
code_book17.npy,2224,16.82,3.22,25.76,2657.76,148.68,29.161616161616163,5.454545454545454,41.21212121212121,2673.212121212121,275.26262626262627,0.21023617825270666,0.18761947534891746,0.2063889874653797,0.09078695098939778,0.1072928203508766,0.19767558759272189
code_book4.npy,2264,16.0,3.4,26.88,2131.88,148.72,28.434343434343436,5.797979797979798,45.333333333333336,2150.3333333333335,279.16161616161617,0.22165074001116006,0.21023024895840733,0.22745205089276793,0.1123651881179924,0.2126794885206464,0.01562228349902593
code_book16.npy,2280,16.22,3.32,28.16,2358.16,140.78,28.656565656565657,5.404040404040404,44.121212121212125,2374.121212121212,263.1313131313131,0.35641978265991753,0.3772866900793401,0.01239919820204507,0.13796429946362443,0.00946990881154185,0.10646012078353102
code_book7.npy,2368,16.16,3.34,28.96,2185.96,136.82,28.303030303030305,5.565656565656566,46.464646464646464,2203.4646464646466,251.1818181818182,0.26515949003014444,0.3184123500596327,0.13607010979808176,0.18635115043133002,0.054692836146705164,0.039314063534105846
